Script started on Sat May  6 15:39:17 2017
[?1034hbash-3.2$ java TernaryFFT ternary27.txt
   a         Re(b)      Im(b)
83.0829    1299.9869  0.0000    
58.5264    120.2144   103.6418  
54.9724    115.1924   57.4766   
91.7194    -127.6611  78.2311   
28.5839    193.2861   -80.8503  
75.7200    36.4226    60.5759   
75.3729    -103.0484  -68.4275  
38.0446    104.1139   66.6526   
56.7822    -23.6266   -105.4736 
7.5854     126.3941   -43.1954  
5.3950     115.3098   -63.8910  
53.0798    56.7067    175.0255  
77.9167    14.0347    -125.0840 
93.4011    -155.7129  -41.5878  
12.9906    -155.7129  41.5878   
56.8824    14.0347    125.0840  
46.9391    56.7067    -175.0255 
1.1902     115.3098   63.8910   
33.7123    126.3941   43.1954   
16.2182    -23.6266   105.4736  
79.4285    104.1139   -66.6526  
31.1215    -103.0484  68.4275   
52.8533    36.4226    -60.5759  
16.5649    193.2861   80.8503   
60.1982    -127.6611  -78.2311  
26.2971    115.1924   -57.4766  
65.4079    120.2144   -103.6418 

bash-3.2$ java TernaryFFT ternary81.txt
   a         Re(b)      Im(b)
81.4724    4328.0477  0.0000    
90.5792    145.0721   197.7605  
12.6987    -213.9698  244.9293  
91.3376    -112.7659  -133.4864 
63.2359    183.2096   182.8122  
9.7540     -70.2771   -43.1813  
27.8498    -3.9586    -260.7806 
54.6882    114.3851   187.7471  
95.7507    54.6375    39.2650   
96.4889    391.4190   218.8857  
15.7613    282.0393   145.6435  
97.0593    -41.5695   -244.3591 
95.7167    -313.9595  102.6612  
48.5376    137.6555   -124.9512 
80.0280    139.4328   354.1291  
14.1886    -170.0177  -0.2875   
42.1761    -171.8129  -102.5690 
91.5736    -118.9513  -436.1695 
79.2207    -167.9709  -9.9756   
95.9492    246.1441   203.2651  
65.5741    74.1839    -117.9190 
3.5712     223.4669   81.2102   
84.9129    246.7889   312.3012  
93.3993    191.5751   43.7538   
67.8735    -105.0178  135.3563  
75.7740    264.5083   56.1454   
74.3132    -10.1090   130.7899  
39.2227    24.4803    -54.7057  
65.5478    285.3861   -96.8362  
17.1187    147.1321   84.7175   
70.6046    202.3549   366.9384  
3.1833     -403.9140  213.6576  
27.6923    6.8996     -107.6828 
4.6171     -275.6919  195.3782  
9.7132     -4.9218    12.6508   
82.3458    205.2746   244.2354  
69.4829    189.4977   -130.5584 
31.7099    -128.4344  -25.9591  
95.0222    168.8123   17.1642   
3.4446     -255.8291  -143.0281 
43.8744    -219.5759  -313.1128 
38.1558    -219.5759  313.1128  
76.5517    -255.8291  143.0281  
79.5200    168.8123   -17.1642  
18.6873    -128.4344  25.9591   
48.9764    189.4977   130.5584  
44.5586    205.2746   -244.2354 
64.6313    -4.9218    -12.6508  
70.9365    -275.6919  -195.3782 
75.4687    6.8996     107.6828  
27.6025    -403.9140  -213.6576 
67.9703    202.3549   -366.9384 
65.5098    147.1321   -84.7175  
16.2612    285.3861   96.8362   
11.8998    24.4803    54.7057   
49.8364    -10.1090   -130.7899 
95.9744    264.5083   -56.1454  
34.0386    -105.0178  -135.3563 
58.5268    191.5751   -43.7538  
22.3812    246.7889   -312.3012 
75.1267    223.4669   -81.2102  
25.5095    74.1839    117.9190  
50.5957    246.1441   -203.2651 
69.9077    -167.9709  9.9756    
89.0903    -118.9513  436.1695  
95.9291    -171.8129  102.5690  
54.7216    -170.0177  0.2875    
13.8624    139.4328   -354.1291 
14.9294    137.6555   124.9512  
25.7508    -313.9595  -102.6612 
84.0717    -41.5695   244.3591  
25.4282    282.0393   -145.6435 
81.4285    391.4190   -218.8857 
24.3525    54.6375    -39.2650  
92.9264    114.3851   -187.7471 
34.9984    -3.9586    260.7806  
19.6595    -70.2771   43.1813   
25.1084    183.2096   -182.8122 
61.6045    -112.7659  133.4864  
47.3289    -213.9698  -244.9293 
35.1660    145.0721   -197.7605 

bash-3.2$ exit
exit

Script done on Sat May  6 15:39:39 2017
